FID,Codigo,Nome,Endereco,Numero,Bairro,CEP,DDD,Telefone,CodigoPonto,tematica,link,geomEquipamentoPublico,exibirWeb
EquipamentoPublicoDados.138,138,E.E.E. (SABESP),Avenida Presidente Castelo Branco com Rua Manoel Feliciano de Oliveira,S/N,Mirim,        ,  ,,145,Saneamento - Rede de Esgotamento Sanitário,,POINT (348032.2086915364 7340787.389975814),0
EquipamentoPublicoDados.139,139,E.E.E. (SABESP),Rua Valter José Alves com Avenida Moises Cardoso D' Oliveira,S/N,Mirim,        ,  ,,146,Saneamento - Rede de Esgotamento Sanitário,,POINT (347819.0328985941 7341674.319733531),0
EquipamentoPublicoDados.140,140,E.E.E. Vila Mirim,Rua 1º de Maio com Avenida Doutor Roberto de Almeida Vinhas,S/N,Mirim,        ,  ,,147,Saneamento - Rede de Esgotamento Sanitário,,POINT (348244.1860191642 7342150.815476673),0
EquipamentoPublicoDados.141,141,E.E.D. Pé na Areia,Avenida Presidente Castelo Branco,6041,Mirim,        ,  ,,148,Saneamento -Drenagem Urbana,,POINT (348887.9017272995 7341207.546265476),0
EquipamentoPublicoDados.142,142,PEV – Ecoponto Mirim,Avenida Presidente Kennedy,8464,Mirim,11704730,  ,,149,Saneamento - Coleta Seletiva,http://www.praiagrande.sp.gov.br/administracao/Projeto_descricao.asp?cdSecretaria=72&cdProjeto=23,POINT (348515.73785170796 7341706.259378585),1
EquipamentoPublicoDados.143,143,CEO – Centro de Especialidades Odontológicas,Avenida Doutor Roberto de Almeida Vinhas,8813,Mirim,11705095,13,34965218,150,Saúde,,POINT (347871.08904843556 7342006.59056918),1
EquipamentoPublicoDados.144,144,CER - Centro Especializado em Reabilitação Joanna Imparato,Avenida Doutor Roberto de Almeida Vinhas,8813,Mirim,11705095,13,34965218,150,Saúde,,POINT (347871.08904843556 7342006.59056918),1
EquipamentoPublicoDados.145,145,AME - Ambulatório Médico de Especialidades,Rua Valter José Alves,485,Mirim,11705030,13,34761700,151,Saúde,,POINT (347694.34851083736 7341780.455768113),1
EquipamentoPublicoDados.146,146,Secretaria de Saúde Pública,Avenida Presidente Kennedy,8850,Mirim,11705000,13,34962400,152,Administrativo/Serviços,,POINT (348259.86807726603 7341605.288964493),1
EquipamentoPublicoDados.148,148,Centro de Vigilância Epidemiológica,Avenida Presidente Kennedy,8850,Mirim,11705000,13,34962400,154,Saúde,,POINT (348238.3771625989 7341593.913817088),1
EquipamentoPublicoDados.149,149,Centro de Vigilância Sanitária,Avenida Presidente Kennedy,8850,Mirim,11705000,13,34962400,154,Saúde,,POINT (348238.3771625989 7341593.913817088),1
EquipamentoPublicoDados.150,150,2° Subgrupamento de Bombeiros Marítimos,Rua Gilberto Fouad Beck,110,Mirim,11705040,  ,,156,Segurança,,POINT (348258.61723405216 7341041.811011998),1
EquipamentoPublicoDados.151,151,Base de Radiopatrulhamento Aéreo da Polícia Militar - Águia,Rua Alberto Fiqueiredo,102,Mirim,11705070,  ,,157,Segurança,,POINT (348071.6295952362 7341142.840012823),1
EquipamentoPublicoDados.152,152,Posto 09 de Salvamento Marítimo – Corpo de Bombeiros,Calçadão da Orla - Avenida Presidente Castelo Branco com Rua Gilberto Fouad Beck,S/N,Mirim,        ,  ,,158,Segurança,,POINT (348350.72927252686 7340949.247874668),1
EquipamentoPublicoDados.153,153,Paço Municipal Palácio São Francisco de Assis,Avenida Presidente Kennedy,9000,Mirim,11704900,13,34962000,159,Administrativo/Serviços,,POINT (348072.2721340897 7341575.859820256),1
EquipamentoPublicoDados.154,154,"Terminal de Transbordo de Passageiros e Rodoviário Vereador Francisco Gomes da Silva - ""Tatico""",Rua Valter José Alves,200,Mirim,11705030,13,34955504,160,Mobilidade Urbana,,POINT (347860.95041929116 7341758.471449407),1
EquipamentoPublicoDados.155,155,Escola Estadual Balneário das Palmeiras,Rua Paulino Borrelli,15889,Maracanã,11705380,13,34941721,161,Educação,,POINT (346691.6015947253 7341148.009502849),1
EquipamentoPublicoDados.156,156,ETEC Praia Grande - Extensão Balneário Maracanã,Avenida Doutor Roberto de Almeida Vinhas,10119,Maracanã,11705740,13,34712395,162,Educação,https://www.etecpg.com.br/,POINT (346764.35928099527 7341389.419588042),1
EquipamentoPublicoDados.157,157,Escola Municipal Governador Franco Montoro,Rua Paulino Borrelli,1000,Maracanã,11705380,13,34965315,163,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/26,POINT (346609.0977767492 7341209.020985003),1
EquipamentoPublicoDados.158,158,Escola Municipal Sérgio Vieira de Mello,Rua Paulino Borrelli,921,Maracanã,11705380,13,34965311,164,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/69,POINT (346737.0807489058 7341083.8939119475),1
EquipamentoPublicoDados.159,159,Escola Municipal Ruth Vilaça Correia Leite Cardoso,Rua Maria Borella Conde,201,Maracanã,11705350,13,34965411,165,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/51,POINT (346822.7556103285 7341342.493829009),1
EquipamentoPublicoDados.161,161,E.E.E. (SABESP),Avenida Presidente Castelo Branco (Entre a Avenida Angelo Perino e a Rua Professora Maria José Barone Fernandes da Silva),S/N,Maracanã,        ,  ,,168,Saneamento - Rede de Esgotamento Sanitário,,POINT (346761.0756166284 7340194.853325796),0
EquipamentoPublicoDados.162,162,E.E.D. Pires,Avenida Presidente Castelo Branco,10091,Maracanã,        ,  ,,169,Saneamento -Drenagem Urbana,,POINT (347998.27564929484 7340781.606821325),0
EquipamentoPublicoDados.163,163,PEV – Ecoponto Maracanã,Avenida Doutor Roberto de Almeida Vinhas,,Maracanã,11708520,  ,,170,Saneamento - Coleta Seletiva,http://www.praiagrande.sp.gov.br/administracao/Projeto_descricao.asp?cdSecretaria=72&cdProjeto=23,POINT (346731.5127488376 7341363.45765671),1
EquipamentoPublicoDados.164,164,Academia de Saúde Maracanã,Rua Cesar Rodrigues Reis,750,Maracanã,11705510,  ,,171,Saúde,,POINT (346314.1425429113 7340764.061699459),1
EquipamentoPublicoDados.165,165,USAFA Maracanã,Rua Cesar Rodrigues Reis,850,Maracanã,11705510,13,34965248,172,Saúde,,POINT (346276.86938078096 7340793.756347544),1
EquipamentoPublicoDados.166,166,Corpo de Bombeiros,Avenida Presidente Kennedy,10900,Maracanã,11705750,  ,,173,Segurança,,POINT (346377.9768186346 7340734.561100238),1
EquipamentoPublicoDados.167,167,Feira de Artesanato - Espaço Multiuso Praça Nossa Senhora de Fátima,Avenida Nossa Senhora de Fátima,191,Caiçara,        ,  ,,174,Cultura,,POINT (344592.51563052373 7339505.73261745),1
EquipamentoPublicoDados.168,168,Escola Estadual Professor Laudelino Fernandes dos Santos,Rua São Benedito,762,Caiçara,11706250,13,34776268,175,Educação,,POINT (344577.3045763833 7339904.82420381),1
EquipamentoPublicoDados.169,169,Escola Municipal José Crego Painceira,Avenida Presidente Kennedy,13499,Caiçara,11707005,13,34965359,176,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/14,POINT (344050.330325758 7339503.595848134),1
EquipamentoPublicoDados.170,170,Escola Municipal Mário Possani,Rua Doutor Samuel Augusto Leão de Moura,451,Caiçara,11706510,13,34965326,177,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/65,POINT (344107.5727510999 7339204.316715303),1
EquipamentoPublicoDados.171,171,Escola Municipal Vereador Felipe Avelino Moraes,Rua Dino Tognini,886,Caiçara,11706400,13,34965407,178,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/20,POINT (344471.0719639082 7339458.824563247),1
EquipamentoPublicoDados.172,172,Ginásio Caiçara,Rua João Piedade Gomes,330,Caiçara,11707010,  ,,179,Esporte,,POINT (344030.5210322436 7339176.293353902),1
EquipamentoPublicoDados.173,173,Espaço Caiçara,Rua Flausina de Oliveira Rosa,900,Caiçara,        ,  ,,180,Lazer,,POINT (345138.8012476895 7340283.40953091),1
EquipamentoPublicoDados.174,174,Conviver Luiz Paulo Navarro,Rua Maria Antunes Navarro,350,Caiçara,11707030,13,35947497,181,Assistência Social,mailto:convivercaicara@praiagrande.sp.gov.br,POINT (343792.2303179435 7339205.994031726),1
EquipamentoPublicoDados.175,175,E.E.E. (SABESP),Avenida Presidente Castelo Branco com Rua Fioravante Zampol,S/N,Caiçara,        ,  ,,182,Saneamento - Rede de Esgotamento Sanitário,,POINT (344906.0945244772 7339256.394458691),0
EquipamentoPublicoDados.176,176,E.E.E. (SABESP),Rua Mathilde de Azevedo Setúbal com Avenida Brasília,S/N,Caiçara,        ,  ,,183,Saneamento - Rede de Esgotamento Sanitário,,POINT (344218.483948773 7339749.3814855935),0
EquipamentoPublicoDados.177,177,E.E.D. Paquetá,Avenida Presidente Castelo Branco,11941,Caiçara,        ,  ,,184,Saneamento -Drenagem Urbana,,POINT (346218.3591334166 7339940.307426855),0
EquipamentoPublicoDados.178,178,E.E.D. Vila Mar,Avenida Presidente Castelo Branco,14811,Caiçara,        ,  ,,185,Saneamento -Drenagem Urbana,,POINT (343541.1677208737 7338561.5973539185),0
EquipamentoPublicoDados.179,179,PEV – Ecoponto Caiçara,Avenida Presidente Kennedy ,13662,Caiçara,11707005,  ,,186,Saneamento - Coleta Seletiva,http://www.praiagrande.sp.gov.br/administracao/Projeto_descricao.asp?cdSecretaria=72&cdProjeto=23,POINT (343850.3898741781 7339447.011586249),1
EquipamentoPublicoDados.180,180,CEAS - Centro de Atenção a Saúde,Rua São José,700,Caiçara,11706210,13,34695252,187,Saúde,,POINT (344881.43357871723 7339977.006821832),1
EquipamentoPublicoDados.181,181,USAFA Caiçara,Rua Mathilde de Azevedo Setúbal,630,Caiçara,11706360,13,34965204,188,Saúde,,POINT (344570.08872496785 7339997.941713697),1
EquipamentoPublicoDados.182,182,Posto 11 de Salvamento Marítimo – Corpo de Bombeiros,Calçadão da Orla - Avenida Presidente Castelo Branco ,13291,Caiçara,        ,  ,,189,Segurança,,POINT (344973.12988615374 7339286.627522461),1
EquipamentoPublicoDados.183,183,Divisão de Manutenção de Próprios e Carpintaria,Rua Mathilde de Azevedo Setúbal,1494,Caiçara,11706360,  ,,190,Administrativo/Serviços,,POINT (343762.6686638822 7339512.332339831),1
EquipamentoPublicoDados.184,184,3° Distrito Policial,Avenida Presidente Kennedy,13296,Caiçara,11707000,  ,,191,Segurança,,POINT (344205.4854745824 7339628.516423199),1
EquipamentoPublicoDados.185,185,Escola Estadual Francisco Martins dos Santos,Avenida Presidente Kennedy,17200,Real,11708000,13,34931238,192,Educação,,POINT (340819.15752787207 7337723.184806452),1
EquipamentoPublicoDados.186,186,Escola Municipal Doutora Ana Maria Babette Bajer Fernandes,Avenida Presidente Kennedy,17100,Real,11708000,13,34965310,193,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/15,POINT (340891.38863714994 7337769.176155534),1
EquipamentoPublicoDados.187,187,Espaço Real,Rua Azaléa,440,Real,11708010,  ,,194,Lazer,,POINT (341583.2134288662 7338053.879688024),1
EquipamentoPublicoDados.188,188,PIC Real - Programa de Integração e Cidadania,Avenida Presidente Kennedy,17483,Real,11708005,13,34736623,195,Assistência Social,mailto:picreal@praiagrande.sp.gov.br,POINT (340929.26408356667 7337759.989173791),1
EquipamentoPublicoDados.189,189,E.E.E. 3 Caiçara (SABESP),Avenida Presidente Castelo Branco (Entre as Ruas Railton Barbosa dos Santos e  Barão de Cotegipe),S/N,Real,        ,  ,,196,Saneamento - Rede de Esgotamento Sanitário,,POINT (343348.3359273305 7338471.376138505),1
EquipamentoPublicoDados.190,190,E.E.E. (SABESP),Avenida Presidente Castelo Branco com Rua Margarida,S/N,Real,        ,  ,,197,Saneamento - Rede de Esgotamento Sanitário,,POINT (341572.59815177595 7337556.648322955),0
EquipamentoPublicoDados.191,191,E.P.C. 3 Caiçara,Avenida Presidente Kennedy,14871,Real,        ,  ,,198,Saneamento - Rede de Esgotamento Sanitário,,POINT (342831.3920127505 7338871.288386986),1
EquipamentoPublicoDados.192,192,E.E.D. Papoulas,Avenida Presidente Castelo Branco,17491,Real,        ,  ,,199,Saneamento -Drenagem Urbana,,POINT (341106.6616444776 7337309.714730035),0
EquipamentoPublicoDados.193,193,PEV – Ecoponto Real,Rua Lilás,419,Real,11708140,  ,,200,Saneamento - Coleta Seletiva,http://www.praiagrande.sp.gov.br/administracao/Projeto_descricao.asp?cdSecretaria=72&cdProjeto=23,POINT (340848.81987751706 7337642.507826477),1
EquipamentoPublicoDados.194,194,E.E.E. (SABESP),Avenida Presidente Castelo Branco com Rua dos Manacás,S/N,Flórida,        ,  ,,201,Saneamento - Rede de Esgotamento Sanitário,,POINT (340046.2493512513 7336745.911929377),0
EquipamentoPublicoDados.195,195,E.E.D. Sereias,Avenida Presidente Castelo Branco,16291,Flórida,        ,  ,,202,Saneamento -Drenagem Urbana,,POINT (339302.3763733127 7336347.1831646515),0
EquipamentoPublicoDados.196,196,USAFA Real,Rua das Begônias,453,Flórida,11708180,13,34965219,203,Saúde,,POINT (340561.94748043484 7337525.230102102),1
EquipamentoPublicoDados.197,197,2ª CIA - 45° BPM/I,Avenida Presidente Kennedy,17914,Flórida,11708206,  ,,204,Segurança,,POINT (340151.19991330436 7337302.740923107),1
EquipamentoPublicoDados.198,198,Posto 14 de Salvamento Marítimo – Corpo de Bombeiros,Calçadão da Orla - Avenida Presidente Castelo Branco ,18055,Flórida,        ,  ,,205,Segurança,,POINT (340599.8800401868 7337042.182339516),1
EquipamentoPublicoDados.199,199,Conviver Lygia Pires Dell'Osso,Avenida Presidente Kennedy,20061,Solemar,11709005,13,34965049,206,Assistência Social,,POINT (338269.24581652106 7336069.237036146),1
EquipamentoPublicoDados.200,200,"Feira de Artesanato - Espaço Multiuso Praça Carlos Gomes ""Casa do Artesão Marina de Carvalho""",Avenida Presidente Kennedy,19602,Solemar,        ,  ,,207,Cultura,,POINT (338643.9136072485 7336358.928658338),1
EquipamentoPublicoDados.201,201,Escola Estadual Júlio Secco de Carvalho,Rua Amelletto Franceschelli,286,Solemar,11709140,13,34932128,208,Educação,,POINT (338688.88023223856 7336296.87985552),1
EquipamentoPublicoDados.202,202,PEV – Ecoponto Solemar,Avenida Presidente Kennedy,21085,Solemar,11702200,  ,,209,Saneamento - Coleta Seletiva,http://www.praiagrande.sp.gov.br/administracao/Projeto_descricao.asp?cdSecretaria=72&cdProjeto=23,POINT (337474.26156151306 7335565.4440958025),1
EquipamentoPublicoDados.203,203,USAFA Solemar,Avenida Presidente Kennedy,19726,Solemar,11709000,13,34965220,210,Saúde,,POINT (338557.9028998268 7336286.8299833415),1
EquipamentoPublicoDados.204,204,3° Distrito Policial,Avenida Presidente Kennedy,20145,Solemar,11709005,  ,,211,Segurança,,POINT (338250.99557581224 7336058.705617648),0
EquipamentoPublicoDados.205,205,Escola Municipal Cidade da Criança,Rua Rubi,600,Cidade da Criança,11721210,13,34965305,212,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/11,POINT (337634.77399935195 7336160.538219388),1
EquipamentoPublicoDados.206,206,Escola Municipal Engenheiro Sérgio Dias de Freitas,Rua Turmalina,25,Cidade da Criança,11700230,13,34965336,213,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/17,POINT (338338.10336564464 7336510.385991963),1
EquipamentoPublicoDados.207,207,Escola Municipal Arquiteto Oscar Niemeyer,Rua Odair Penellas Baeta,231,Princesa,11711130,13,34965371,214,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/16,POINT (340673.7393383344 7338084.145350709),1
EquipamentoPublicoDados.208,208,Campo do Real,Rua Antonio Luiz Prates Maia,40,Princesa,        ,  ,,215,Esporte,,POINT (340969.07930065284 7338072.77402426),1
EquipamentoPublicoDados.209,209,Campo do Melvi,Avenida Milton de Oliveira,1570,Imperador,        ,  ,,216,Esporte,,POINT (344300.3644782991 7340236.177616626),1
EquipamentoPublicoDados.210,210,E.E.A. Melvi,Avenida Diamantino Cruz Ferreira Mourão,5000,Imperador,        ,  ,,217,Saneamento - Rede de Abastecimento de Água,,POINT (344372.74589767115 7340120.24467721),1
EquipamentoPublicoDados.211,211,Centro de Reservação de Água – Melvi,Avenida Diamantino Cruz Ferreira Mourão,5000,Imperador,        ,  ,,217,Saneamento - Rede de Abastecimento de Água,,POINT (344372.74589767115 7340120.24467721),1
EquipamentoPublicoDados.212,212,Escola Estadual Professora Vilma Catharina Mosca Leone,Avenida Milena Perutich,1035,Melvi,11712030,13,34774402,219,Educação,,POINT (343877.1049112582 7340899.060277005),1
EquipamentoPublicoDados.213,213,"Escola Municipal Eduardo Gonsalves do Barreiro ""Bolão""",Avenida Milena Perutich,1078,Melvi,11712030,13,34965342,220,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/70,POINT (343919.5197225176 7340899.987746964),1
EquipamentoPublicoDados.214,214,Escola Municipal Estado do Amazonas,Avenida Maria Cavalcante da Silva,431,Melvi,11712560,13,34965312,221,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/25,POINT (344405.81233739917 7341168.0114183),1
EquipamentoPublicoDados.215,215,Escola Municipal Joaquim Augusto Ferreira Mourão,Avenida Brigadeiro Eduardo Gomes,1000,Melvi,11712020,13,34965319,222,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/33,POINT (343901.85692215245 7340832.278916736),1
EquipamentoPublicoDados.216,216,Escola Municipal Mahatma Gandhi,Avenida Doutor Antonio Sylvio Cunha Bueno,660,Melvi,11712090,13,34965414,223,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/35,POINT (344166.951582091 7340811.741657322),1
EquipamentoPublicoDados.217,217,Escola Municipal Maria dos Remédios Carmona Milan,Rua Manoel Gonzalez Corújo,57,Melvi,11712080,13,34965322,224,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/27,POINT (344274.82076672284 7340736.788556047),1
EquipamentoPublicoDados.218,218,Divisão de Manutenção de Vias,Avenida Professora Heleny Rosa,116,Melvi,11712150,  ,,225,Administrativo/Serviços,,POINT (344757.5367439456 7340418.622196261),1
EquipamentoPublicoDados.219,219,Pátio SESURB,Avenida Professora Heleny Rosa,115,Melvi,11712150,  ,,227,Administrativo/Serviços,,POINT (344734.3967825549 7340405.719151712),1
EquipamentoPublicoDados.220,220,CRAS Melvi,Rua Marcelino de Oliveira,44,Melvi,11712050,13,34774983,228,Assistência Social,mailto:crasmelvi@praiagrande.sp.gov.br,POINT (344730.61357631604 7340525.344689696),1
EquipamentoPublicoDados.221,221,PIC Melvi - Programa de Integração e Cidadania,Avenida Professora Heleny Rosa,114,Melvi,11712150,13,35945056,229,Assistência Social,mailto:picmelvi@praiagrande.sp.gov.br,POINT (344779.5031412114 7340400.489780092),1
EquipamentoPublicoDados.222,222,Academia de Saúde Melvi,Rua Leopoldo Augusto  Miguez,702,Melvi,11712170,  ,,535,Saúde,,POINT (344682.47730126505 7340556.7479655845),1
EquipamentoPublicoDados.223,223,USAFA Melvi,Rua João Caetano,101,Melvi,11712210,13,34965264,231,Saúde,,POINT (344647.5414922299 7340584.118950627),1
EquipamentoPublicoDados.224,224,Escola Estadual Professor Antonio Nunes Lopes da Silva,Avenida Dante Bellomaria,171,Samambaia,11712670,13,34773547,232,Educação,,POINT (344931.3118494153 7341108.763433989),1
EquipamentoPublicoDados.225,225,Escola Estadual Deputado Rubens Paiva,Rua Corretor Manoel Rodrigues Procópio do Vale,255,Samambaia,11712450,13,34776223,233,Educação,,POINT (344811.6187907586 7340968.8702793615),1
EquipamentoPublicoDados.226,226,Porto do Saber  - Silvia Lemos Smith,Rua dos Rosedás,160,Samambaia,11712660,13,34965370,234,Educação,,POINT (344791.9751325248 7341113.876941562),1
EquipamentoPublicoDados.227,227,Escola Municipal Albert Einstein,Rua Dom Pedro I,397,Samambaia,11713110,13,34965413,235,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/4,POINT (345305.84151879774 7340796.730851537),1
EquipamentoPublicoDados.228,228,Escola Municipal Gregório França de Siqueira,Avenida Vitor Meirelles,1950,Samambaia,11713080,13,34965390,236,Educação,http://www.cidadaopg.sp.gov.br/escolas/gregorio,POINT (344301.9486978188 7342140.137946574),1
EquipamentoPublicoDados.229,229,Escola Municipal Hilda de Carvalho Guedes,Rua dos Rosedás,161,Samambaia,11712660,13,34965362,237,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/75,POINT (344827.7388622827 7341094.109023676),1
EquipamentoPublicoDados.230,230,Escola Municipal Professora Maria de Lourdes Santos,Avenida Vitor Meirelles,1875,Samambaia,11713080,13,34965405,238,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/41,POINT (345847.31969650177 7340968.1334476),1
EquipamentoPublicoDados.231,231,Escola Municipal Doutor Wilson Guedes,Rua Corretor Manoel Rodrigues Procópio do Vale,195,Samambaia,11712450,13,34965309,239,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/18,POINT (344821.7105950181 7340875.551001366),1
EquipamentoPublicoDados.232,232,Campo do Cristal,Avenida das Castanheiras,331,Samambaia,        ,  ,,240,Esporte,,POINT (343849.7303329788 7341707.962191927),1
EquipamentoPublicoDados.233,233,Pista de Esportes Radicais Samambaia,Rua das Quaresmeiras,173,Samambaia,        ,  ,,241,Esporte,,POINT (344724.21387134085 7341182.5082606),1
EquipamentoPublicoDados.234,234,Ginásio Samambaia,Avenida Maria Cavalcante da Silva,10,Samambaia,11712560,  ,,242,Esporte,,POINT (344894.9115256146 7341039.060055521),1
EquipamentoPublicoDados.235,235,Espaço para Eventos Samambaia,Rua das Cerejeiras,181,Samambaia,        ,  ,,243,Lazer,,POINT (344664.86473557045 7341221.479945598),1
EquipamentoPublicoDados.236,236,E.E.E. (SABESP),Rua das Seringueiras,S/N,Samambaia,        ,  ,,244,Saneamento - Rede de Esgotamento Sanitário,,POINT (344095.1581001704 7341646.775518585),0
EquipamentoPublicoDados.237,237,Conviver Samambaia,Rua Itiberê da Cunha,230,Samambaia,11713160,13,34965004,245,Assistência Social,mailto:conviversamambaia@praiagrande.sp.gov.br ,POINT (344861.0461027607 7341336.390680354),1
EquipamentoPublicoDados.238,238,SAMU Cremilde Jesus Alberto Amaral,Avenida Diamantino Cruz Ferreira Mourão,4100,Samambaia,11712680,13,34913173,246,Saúde,,POINT (345298.7158627616 7340605.20437334),1
EquipamentoPublicoDados.239,239,UPA - Doutor Charles Antunes Bechara,Avenida do Corretor de Imóveis,4000,Samambaia,11712400,13,34781333,246,Saúde,,POINT (345298.7158627616 7340605.20437334),1
EquipamentoPublicoDados.240,240,Academia de Saúde Samambaia,Avenida das Araucárias,211,Samambaia,11712490,  ,,247,Saúde,,POINT (344546.3155313675 7341301.307752256),1
EquipamentoPublicoDados.241,241,USAFA Samambaia,Avenida das Araucárias,181,Samambaia,11712490,13,34965215,249,Saúde,,POINT (344518.62275825813 7341343.958036346),1
EquipamentoPublicoDados.242,242,Escola Estadual Alexandrina Santiago Netto,Rua Paulo Setubal,19345,Esmeralda,11700510,13,34770469,250,Educação,,POINT (346185.42494651634 7341263.245856782),1
EquipamentoPublicoDados.243,243,Escola Municipal Antonio Rubens Costa de Lara,Avenida Ana Pereira da França,249,Esmeralda,11713280,13,34965369,251,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/7,POINT (345901.2701799494 7341227.2896204125),1
EquipamentoPublicoDados.244,244,Escola Municipal João Batista Resine Alves,Rua Paulo Setubal,80,Esmeralda,11713470,13,34965318,252,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/50,POINT (346251.37599084736 7341213.437285852),1
EquipamentoPublicoDados.245,245,Escola Municipal Professora Maria Clotilde Lopes Comitre Rigo,Rua Bruno Seabra,141,Esmeralda,11713280,13,34965353,253,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/40,POINT (344842.1765656449 7342063.094191194),1
EquipamentoPublicoDados.246,246,Escola Municipal Paulo de Souza Sandoval,Rua Bruno Seabra,91,Esmeralda,11713320,13,34965354,254,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/21,POINT (344894.1354131501 7342094.378228978),1
EquipamentoPublicoDados.247,247,Pista de Esportes Radicais - Praça Esportiva Jacaré,Avenida Diamantino Cruz Ferreira Mourão ,2703,Esmeralda,        ,  ,,255,Esporte,,POINT (346301.8115671578 7341410.444314255),1
EquipamentoPublicoDados.248,248,CAFE Doutor Sérgio Mainente,Avenida Ana Pereira da França,295,Esmeralda,11713280,13,34965070,256,Assistência Social,mailto:epsergiomainente@praiagrande.sp.gov.br,POINT (345861.16893864213 7341257.026273086),1
EquipamentoPublicoDados.249,249,CRAS Esmeralda,Avenida Ana Pereira da França,295,Esmeralda,11713280,13,34965019,256,Assistência Social,mailto:crasesmeralda@praiagrande.sp.gov.br,POINT (345861.16893864213 7341257.026273086),1
EquipamentoPublicoDados.250,250,Academia de Saúde Rio Branco,Avenida Hugo de Carvalho Ramos,1551,Esmeralda,11713320,  ,,258,Saúde,,POINT (344982.9437543591 7342047.443615093),1
EquipamentoPublicoDados.251,251,USAFA Esmeralda,Rua Menotti Del Picchia,179,Esmeralda,11713480,13,34965232,259,Saúde,,POINT (346172.09304721834 7341352.382018171),1
EquipamentoPublicoDados.252,252,USAFA Rio Branco,Avenida Hugo de Carvalho Ramos,1521,Esmeralda,11713320,13,34965278,260,Saúde,,POINT (344966.35529204976 7342059.180941903),1
EquipamentoPublicoDados.253,253,1º BPRV - 2ª CIA,Rodovia Padre Manoel da Nóbrega (SP-055),Km 291,Esmeralda,11715000,  ,,261,Segurança,,POINT (346352.7230511832 7341297.004487287),1
EquipamentoPublicoDados.254,254,Escola Municipal 19 de Janeiro,Rua Flavio Monteiro de Castro,500,Ribeirópolis,11714130,13,34965351,262,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/74,POINT (346191.30474945996 7342026.371420885),1
EquipamentoPublicoDados.255,255,Escola Municipal Domingos Soares de Oliveira,Avenida Doutor Esmeraldo Soares Tarquinio de Campos Filho,501,Ribeirópolis,11704140,13,34965306,263,Educação,http://www.cidadaopg.sp.gov.br/escolas/domingos_soares,POINT (346208.61579697154 7342098.418885969),1
EquipamentoPublicoDados.256,256,Escola Municipal Nicolau Paal,Rua Alfredo D' Escragnolle Taunay,41,Ribeirópolis,11714250,13,34965314,264,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/24,POINT (346232.20649236144 7342165.776058005),1
EquipamentoPublicoDados.257,257,Escola Municipal Visconde de Mauá – Irineu Evangelista de Sousa,Avenida Oliveira Lima,972,Ribeirópolis,11714400,  ,,265,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/47,POINT (346366.17277636577 7342303.358076186),1
EquipamentoPublicoDados.258,258,Escola Municipal Roberto Francisco dos Santos,Avenida Oliveira Lima,972,Ribeirópolis,11714400,  ,,266,Educação,https://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/23,POINT (346404.61716039403 7342275.443149748),1
EquipamentoPublicoDados.260,260,PEV – Ecoponto Ribeirópolis,Avenida Diamantino Cruz Ferreira Mourão,2501,Ribeirópolis,11717260,  ,,269,Saneamento - Coleta Seletiva,http://www.praiagrande.sp.gov.br/administracao/Projeto_descricao.asp?cdSecretaria=72&cdProjeto=23,POINT (346704.11730844004 7341832.885048439),1
EquipamentoPublicoDados.261,261,USAFA Ribeirópolis,Avenida Doutor Esmeraldo Soares Tarquinio de Campos Filho,471,Ribeirópolis,11714140,13,34965265,270,Saúde,,POINT (346245.7117640253 7342071.653019432),1
